"Year","Sex","Hgt","Wgt","Hand","Haircut","GPA","Exercise","Sport","TV","Award","Pulse","Computer","SocialMedia"
"FirstYear","F",54,142,"right",35,3.12,4,"No",5,"Olympic",NA,"PC","Snapchat"
"FirstYear","F",64,135,"right",60,2.92,0,"No",7,"Nobel",NA,"Mac","Snapchat"
"Sophomore","M",70,176,"right",18,3.6,7,"No",4,"Olympic",80,"Mac","Instagram"
"Junior","M",74,161,"right",25,2.5,12,"Yes",8,"Academy",70,"Mac","Instagram"
"FirstYear","F",66,180,"right",140,NA,7,"No",7,"Academy",100,"Mac","Snapchat"
"FirstYear","F",64,170,"left",NA,NA,10,"No",14,"Nobel",75,"PC","None"
"FirstYear","F",63,120,"right",130,NA,1,"No",2,"Nobel",71,"Mac","Instagram"
"Sophomore","F",60,NA,"right",16,NA,6,"No",5,"Nobel",60,"Mac","Snapchat"
"Sophomore","F",62,109,"right",50,3.5,10,"No",30,"Nobel",79,"Mac","Instagram"
"Junior","M",69,170,"right",15,NA,15,"Yes",5,"Olympic",60,"PC","Instagram"
"Junior","F",68,156,"right",40,3.64,15,"Yes",5,"Olympic",70,"Mac","Snapchat"
"Sophomore","F",65,180,"right",40,3.1,5,"No",2,"Nobel",65,"Mac","Instagram"
"Sophomore","M",67,160,"right",17,2.5,14,"Yes",30,"Olympic",60,"PC","Twitter"
"FirstYear","F",64,130,"right",50,NA,5,"No",3,"Olympic",60,"Mac","Instagram"
"Junior","M",69,175,"right",20,2.9,4,"Yes",7,"Olympic",52,"Mac","Instagram"
"Senior","M",74,220,"both",0,3.3,12,"Yes",5,"Olympic",120,"Mac","Snapchat"
"Junior","M",67,160,"left",20,3.4,10,"Yes",8,"Olympic",60,"Mac","Snapchat"
"Sophomore","F",65,120,"left",35,3.58,4,"No",5,"Nobel",64,"Mac","Instagram"
"FirstYear","F",64,135,"right",25,NA,7,"No",5,"Nobel",72,"Mac","Snapchat"
"FirstYear","M",66,110,"right",19,NA,7,"No",5,"Olympic",71,"PC","Snapchat"
"Sophomore","F",69,140,"right",0,3.6,12,"Yes",0,"Olympic",98,"PC","Instagram"
"FirstYear","F",NA,100,"right",15,NA,5,"No",0,"Academy",60,"Mac","Instagram"
"Sophomore","M",72,173,"left",35,3.22,5,"No",4,"Olympic",52,"PC","Instagram"
"Sophomore","F",63,120,"right",50,3,14,"No",20,"Olympic",65,"Mac","Other"
"Sophomore","F",64,113,"right",30,3.3,12,"Yes",12,"Nobel",75,"Mac","Snapchat"
"Junior","F",62,100,"right",52,3.7,7,"No",12,"Olympic",103,"Mac","Snapchat"
"Sophomore","F",66,105,"right",80,4,7,"No",7,"Academy",75,"PC","Instagram"
"Sophomore","F",70,150,"right",40,3.7,22,"Yes",5,"Olympic",50,"Mac","Instagram"
"FirstYear","M",NA,NA,"right",20,NA,5,"No",4,"Academy",110,"PC","Facebook"
"FirstYear","F",74,155,"right",50,NA,11,"Yes",10,"Olympic",NA,"Mac","Snapchat"
"Sophomore","M",67,148,"left",25,3.7,12,"No",2,"Nobel",67,"PC","Facebook"
"Sophomore","M",74,158,"right",17,NA,14,"Yes",6,"Nobel",52,"PC","Instagram"
"FirstYear","F",64,155,"right",32,NA,3,"No",4,"Nobel",80,"PC","Instagram"
"FirstYear","F",64,125,"right",45,NA,18,"Yes",6,"Olympic",70,"Mac","Snapchat"
"FirstYear","M",66,148,"right",15,NA,10,"Yes",15,"Olympic",62,"Mac","Twitter"
"Sophomore","M",71,153,"right",15,2.92,15,"Yes",12,"Olympic",66,"Mac","Snapchat"
"FirstYear","F",70,123,"right",NA,NA,6,"Yes",15,"Nobel",NA,"Mac","Instagram"
"Sophomore","F",59,115,"left",0,3.6,2,"No",10,"Nobel",62,"PC","Facebook"
"FirstYear","F",62,125,"right",60,NA,5,"Yes",10,"Olympic",82,"Mac","Instagram"
"Sophomore","F",64,140,"right",40,3.9,20,"No",5,"Academy",72,"Mac","Instagram"
"Sophomore","F",67,NA,"left",200,3.2,17,"Yes",10,"Olympic",52,"Mac","Instagram"
"Sophomore","M",73,215,"right",22,3.33,6,"No",12,"Nobel",80,"Mac","Twitter"
"Sophomore","F",67,135,"right",18,3.3,13,"Yes",4,"Nobel",58,"Mac","Twitter"
"Sophomore","F",62,130,"right",NA,3.5,5,"No",5,"Nobel",62,"Mac","Instagram"
"Sophomore","F",64,150,"right",80,2.7,1,"Yes",5,"Olympic",50,"Mac","Snapchat"
"Sophomore","F",65,150,"right",30,NA,4,"No",4,"Nobel",84,"Mac","Snapchat"
"Sophomore","F",65,130,"left",0,NA,0,"No",20,"Academy",68,"Mac","None"
"Sophomore","M",75,200,"right",7,3.3,5,"No",2,"Nobel",60,"Mac","Twitter"
"FirstYear","F",66,118,"right",55,NA,6,"Yes",6,"Olympic",60,"Mac","Snapchat"
"Sophomore","F",65,190,"right",75,2.5,14,"Yes",28,"Nobel",74,"Mac","Snapchat"
"FirstYear","M",73,175,"right",25,NA,20,"Yes",2,"Olympic",70,"Mac","Twitter"
"Sophomore","F",64,170,"right",15,NA,5,"No",14,"Academy",60,"Mac","Instagram"
"FirstYear","M",66,125,"right",NA,NA,30,"Yes",25,"Olympic",84,"Mac","Instagram"
"FirstYear","F",63,107,"right",NA,NA,10,"Yes",NA,"Olympic",68,"Mac","Snapchat"
"Sophomore","M",72,155,"right",12,3.52,3,"No",6,"Nobel",59,"Mac","Instagram"
"Sophomore","M",74,190,"right",20,3,8,"No",10,"Olympic",48,"Mac","Instagram"
"FirstYear","M",71,165,"right",15,NA,NA,"Yes",12,"Olympic",86,"Mac","Instagram"
"Sophomore","F",65,117,"right",35,3.94,4,"No",5,"Nobel",72,"Mac","Snapchat"
"Sophomore","F",73,167,"right",53,2.47,2,"No",10,"Olympic",77,"Mac","Snapchat"
"Sophomore","F",68,130,"right",100,3.4,NA,"No",8,"Academy",64,"Mac","Instagram"
"FirstYear","M",70,200,"left",35,NA,15,"Yes",7,"Olympic",83,"Mac","Snapchat"
"Sophomore","M",71,185,"right",35,3,7,"Yes",6,"Olympic",70,"Mac","Instagram"
"FirstYear","M",72,170,"right",20,NA,10,"Yes",6,"Olympic",82,"Mac","Instagram"
"FirstYear","M",69,175,"right",13,NA,18,"Yes",10,"Olympic",74,"Mac","Twitter"
"FirstYear","F",66,145,"right",16,NA,5,"No",10,"Olympic",78,"Mac","Snapchat"
"FirstYear","M",71,165,"right",20,NA,12,"Yes",5,"Olympic",59,"Mac","Snapchat"
"Senior","M",70,160,"right",2,3.2,12,"No",5,"Nobel",64,"Mac","Other"
"FirstYear","M",74,155,"right",22,NA,8,"No",2,"Olympic",84,"Mac","Instagram"
"Sophomore","F",67,145,"right",80,3.8,16,"Yes",15,"Olympic",73,"Mac","Instagram"
"Junior","F",67,160,"right",0,3.67,7,"No",10,"Nobel",69,"PC","Snapchat"
"Sophomore","M",69,174,"right",0,3.4,16,"Yes",10,"Olympic",78,"Mac","Instagram"
"Sophomore","M",69,180,"right",35,2.9,10,"No",4,"Nobel",75,"PC","Instagram"
"Sophomore","F",66,130,"right",60,3.4,10,"Yes",2,"Nobel",61,"Mac","Snapchat"
"FirstYear","F",70,135,"right",120,NA,10,"Yes",5,"Academy",92,"Mac","Snapchat"
"Sophomore","F",68,145,"right",60,3.64,6,"No",6,"Academy",61,"Mac","Instagram"
"Sophomore","F",62,134,"right",35,3.7,9,"No",7,"Olympic",52,"Mac","Instagram"
"Sophomore","F",70,160,"right",70,3.3,10,"Yes",7,"Olympic",67,"Mac","Snapchat"
"Sophomore","F",66,145,"right",300,3.7,10,"Yes",2,"Olympic",65,"Mac","Instagram"
"Sophomore","F",66,145,"right",300,3.7,10,"Yes",2,"Olympic",65,"Mac","Instagram"
"Sophomore","M",67,150,"right",5,3,2,"No",10,"Nobel",82,"PC","Other"
"FirstYear","M",75,210,"right",22,NA,15,"Yes",10,"Olympic",56,"Mac","Instagram"
"Sophomore","F",62,135,"right",165,3.2,5,"Yes",6,"Olympic",68,"Mac","Snapchat"
"Sophomore","M",71,225,"right",33,2.3,3,"No",14,"Nobel",61,"Mac","Instagram"
"Sophomore","M",70,136,"right",105,3.5,5,"No",8,"Nobel",55,"PC","Other"
"FirstYear","M",71,170,"left",30,NA,14,"Yes",2,"Nobel",80,NA,"Snapchat"
"Junior","M",72,160,"right",54,2,21,"Yes",11,"Olympic",50,"PC","Facebook"
"Sophomore","F",64,125,"left",130,3.2,7,"No",21,"Nobel",50,"Mac","Instagram"
"Sophomore","F",62,148,"right",15,3.6,3,"No",1,"Nobel",56,"Mac","Snapchat"
"Sophomore","F",64,107,"right",135,3,1,"No",2,"Nobel",80,"Mac","Snapchat"
"Sophomore","F",64,130,"right",80,3.75,7,"Yes",7,"Nobel",57,"Mac","Snapchat"
"Senior","F",67,180,"right",100,3.3,15,"Yes",6,"Olympic",68,"Mac","Instagram"
"Sophomore","F",63,115,"right",150,2.3,5,"No",14,"Academy",65,"Mac","Other"
"Sophomore","M",71,159,"right",30,3.2,7,"No",3,"Nobel",76,"Mac","Snapchat"
"Junior","F",66,135,"right",85,3.3,7,"No",7,"Olympic",74,"Mac","Instagram"
"Sophomore","F",62,130,"right",20,3,4,"Yes",20,"Academy",61,"PC","Snapchat"
"Junior","F",67,150,"right",20,NA,5,"No",7,"Nobel",70,"Mac","Instagram"
"Sophomore","M",67,145,"left",12,3.7,2,"No",5,"Nobel",84,"Mac","Twitter"
"FirstYear","F",65,120,"right",80,NA,18,"Yes",9,"Olympic",NA,"Mac","Snapchat"
"Sophomore","M",72,185,"right",30,2.8,15,"Yes",8,"Olympic",65,"Mac","Instagram"
"Sophomore","M",74,205,"right",48,3.3,16,"Yes",10,"Nobel",80,"Mac","Snapchat"
"Senior","M",75,190,"right",0,3.4,18,"Yes",10,"Olympic",50,"PC","Instagram"
"Sophomore","M",72,180,"left",20,3.85,8,"No",10,"Nobel",66,"Mac","Instagram"
"Sophomore","M",69,180,"both",30,3,7,"Yes",10,"Olympic",83,"Mac","Snapchat"
"Sophomore","F",55,140,"right",65,3,12,"Yes",4,"Olympic",110,"Mac","Instagram"
"Sophomore","M",70,175,"right",25,3.15,16,"Yes",6,"Olympic",80,"PC","Snapchat"
"Sophomore","M",70,170,"right",30,3.2,3,"No",5,"Olympic",60,"Mac","Instagram"
"Sophomore","M",69,182,"right",38,3.25,5,"No",10,"Olympic",64,"Mac","Instagram"
"Sophomore","F",64,130,"right",50,3.4,4,"Yes",5,"Olympic",60,"Mac","Instagram"
"Sophomore","F",66,NA,"right",20,3.5,12,"Yes",2,"Academy",NA,"Mac","Snapchat"
"Sophomore","M",69,150,"right",20,3.43,30,"No",7,"Nobel",54,"PC","None"
"Sophomore","F",66,105,"right",90,3.6,3,"No",10,"Nobel",70,"Mac","Instagram"
"FirstYear","M",71,185,"right",31,NA,10,"Yes",15,"Olympic",60,"Mac","Instagram"
"Sophomore","F",66,145,"right",0,3.7,10,"Yes",2,"Nobel",55,"PC","Other"
"Sophomore","F",67,130,"right",30,2.5,9,"Yes",4,"Olympic",84,"Mac","Snapchat"
"Sophomore","F",68,145,"right",35,3.7,10,"Yes",5,"Olympic",91,"Mac","Snapchat"
"FirstYear","F",64,125,"right",20,NA,4,"No",5,"Nobel",NA,"Mac","Snapchat"
"Sophomore","M",71,164,"left",10,3,20,"Yes",10,"Olympic",60,"Mac","Snapchat"
"FirstYear","F",62,125,"right",10,NA,14,"Yes",6,"Olympic",42,"Mac","Instagram"
"FirstYear","M",71,160,"left",12,NA,16,"Yes",5,"Olympic",36,"Mac","Snapchat"
"Junior","F",67,190,"right",85,2.8,2,"No",10,"Academy",85,"Mac","Snapchat"
"FirstYear","F",66,145,"right",60,NA,10,"No",8,"Olympic",67,"Mac","Snapchat"
"FirstYear","F",66,170,"right",30,NA,15,"Yes",8,"Olympic",71,"Mac","Snapchat"
"Sophomore","F",61,120,"right",40,3.7,10,"No",4,"Olympic",75,"Mac","Snapchat"
"Sophomore","F",56,109,"right",250,3.7,2,"No",12,"Academy",76,"Mac","Instagram"
"Sophomore","F",66,125,"right",55,3.7,10,"Yes",5,"Nobel",NA,"Mac","Instagram"
"Junior","M",72,185,"right",7,3.94,10,"No",15,"Olympic",64,"PC","Instagram"
"Sophomore","M",72,180,"right",20,3.33,4,"No",10,"Nobel",70,"Mac","Instagram"
"Sophomore","M",71,160,"right",18,3.7,15,"No",5,"Olympic",65,"Mac","Instagram"
"Sophomore","M",72,200,"right",20,3.35,24,"Yes",16,"Nobel",60,"PC","Twitter"
"Sophomore","M",69,270,"right",20,3.25,15,"Yes",13,"Nobel",NA,"Mac","Twitter"
"FirstYear","M",69,185,"right",10,NA,20,"Yes",20,"Nobel",NA,"Mac","Instagram"
"FirstYear","F",71,140,"right",110,NA,5,NA,4,"Academy",45,"Mac","Facebook"
"FirstYear","F",63,135,"right",70,NA,12,"Yes",5,"Olympic",79,"Mac","Snapchat"
"Sophomore","F",62,120,"right",200,3,30,"Yes",10,"Olympic",60,"Mac","Snapchat"
"Sophomore","F",66,150,"right",0,3.5,2,"No",6,"Nobel",NA,"Mac","Snapchat"
"Sophomore","F",62,110,"left",120,NA,14,"Yes",3,"Olympic",NA,"Mac","Instagram"
"Sophomore","F",55,130,"left",100,3.4,2,"No",3,"Academy",83,"Mac","Instagram"
"FirstYear","M",74,162,"right",14,NA,12,"Yes",7,"Olympic",62,"Mac","Snapchat"
"Junior","F",68,145,"right",140,3,4,"No",4,"Nobel",68,"Mac","Snapchat"
"Junior","M",69,154,"right",15,2.95,20,"No",3,"Olympic",75,"Mac","Snapchat"
"Sophomore","F",63,120,"left",80,3.67,20,"Yes",3,"Olympic",80,"Mac","Instagram"
"FirstYear","M",68,140,"right",22,NA,10,"Yes",10,"Olympic",70,"Mac","Snapchat"
"FirstYear","F",65,115,"right",65,3.3,10,"Yes",4,"Olympic",70,"Mac","Snapchat"
"Junior","F",70,230,"right",10,3.55,5,"No",7,"Nobel",68,"Mac","Snapchat"
"Sophomore","F",64,140,"left",35,3.78,7,"No",5,"Nobel",76,"Mac","Instagram"
"Junior","M",75,185,"right",25,3.7,15,"Yes",6,"Nobel",58,"Mac","Instagram"
"Junior","F",69,142,"right",0,3.24,15,"Yes",2,"Nobel",54,"Mac","Other"
"Junior","M",71,180,"right",20,3.7,10,"No",10,"Nobel",70,"Mac","Snapchat"
"Junior","M",72,150,"right",20,3,5,"No",10,"Nobel",70,"Mac","Instagram"
"Junior","M",67,170,"right",0,2.75,12,"Yes",7,"Olympic",78,"Mac","Snapchat"
"Sophomore","F",65,145,"right",30,3.2,2,"No",8,"Nobel",92,"Mac","Instagram"
"Junior","F",60,115,"right",20,NA,2,NA,3,NA,68,"Mac","Instagram"
"Sophomore","M",70,155,"right",17,3.1,8,"No",15,"Olympic",54,"Mac","Other"
"Sophomore","F",66,120,"right",35,3.3,3,"No",4,"Olympic",52,"Mac","Snapchat"
"Sophomore","F",64,136,"right",15,3.4,7,"No",3,"Nobel",100,"PC","Twitter"
"Junior","M",73,226,"right",30,3,12,"Yes",6,"Nobel",60,"Mac","Snapchat"
"Sophomore","F",68,185,"right",45,3.6,2,"No",8,"Nobel",47,"Mac","Snapchat"
"Sophomore","F",66,130,"right",128,3,6,"No",10,"Academy",NA,"Mac","Instagram"
"Sophomore","F",67,175,"right",70,3.6,12,"Yes",2,"Olympic",56,"Mac","Instagram"
"Sophomore","M",73,185,"right",20,3,8,"No",10,"Olympic",59,"Mac","Snapchat"
"Sophomore","F",66,173,"right",35,2.94,6,"No",7,"Nobel",72,"Mac","Instagram"
"Sophomore","F",62,130,"right",40,3.2,12,"Yes",12,"Nobel",NA,"Mac","Other"
"Sophomore","M",76,208,"right",17,2.7,30,"Yes",20,"Olympic",62,"Mac","Instagram"
"Sophomore","F",64,110,"right",40,3.1,10,"Yes",8,"Olympic",65,"Mac","Snapchat"
"Sophomore","F",67,150,"right",0,3,0,"No",10,"Academy",65,"PC","Snapchat"
"Sophomore","M",76,250,"right",10,3.6,4,"No",5,"Nobel",50,"Mac","Instagram"
"Sophomore","F",62,102,"right",0,3.15,5,"No",4,"Olympic",65,"PC","Instagram"
"Sophomore","F",65,NA,"right",150,3.4,5,"No",6,"Nobel",78,"Mac","Snapchat"
"Sophomore","F",64,150,"right",25,3,7,"No",4,"Olympic",NA,"Mac","Snapchat"
"Sophomore","F",66,115,"right",150,3.5,2,"No",2,"Nobel",87,"Mac","Instagram"
"Sophomore","F",63,129,"right",25,3.17,5,"Yes",12,"Olympic",35,"PC","Snapchat"
"Sophomore","F",64,130,"right",30,3.2,5,"No",2,"Academy",120,"Mac","Instagram"
"Sophomore","F",66,160,"left",5,3,0,"No",NA,"Nobel",NA,NA,"Instagram"
"Sophomore","F",67,185,"right",0,3.2,2,"No",2,"Olympic",78,"Mac","Instagram"
"FirstYear","M",74,253,"right",35,NA,21,"Yes",10,"Olympic",60,"Mac","Snapchat"
"Sophomore","F",63,130,"right",25,3.7,2,"No",4,"Nobel",62,"PC","Snapchat"
"Sophomore","M",79,200,"right",40,2.98,15,"Yes",4,"Olympic",41,"Mac","Snapchat"
"Junior","M",74,180,"left",30,3.5,NA,"No",NA,"Nobel",60,"Mac","Twitter"
"FirstYear","M",68,160,"right",25,NA,7,"No",14,"Nobel",NA,"Mac","Snapchat"
"FirstYear","M",72,200,"right",35,NA,3,"Yes",12,"Olympic",NA,"Mac","Snapchat"
"FirstYear","M",69,160,"right",18,NA,21,"Yes",14,"Olympic",130,"Mac","Instagram"
"Sophomore","M",70,265,"right",25,2.5,NA,"No",NA,"Olympic",80,"Mac","Snapchat"
"Sophomore","F",64,135,"right",90,3.4,5,"No",15,"Olympic",70,"Mac","Instagram"
"Sophomore","M",72,165,"right",20,3.21,7,"No",9,"Nobel",74,"Mac","Snapchat"
"Sophomore","M",73,NA,"right",20,3.15,7,"No",5,"Nobel",NA,"PC","Instagram"
"Sophomore","F",67,140,"right",60,3.3,14,"Yes",14,"Olympic",70,"Mac","Instagram"
"Senior","M",74,177,"both",24,3.94,12,"Yes",12,"Nobel",48,"Mac","Snapchat"
"Sophomore","M",69,158,"right",0,3.13,18,"Yes",10,"Nobel",NA,"Mac","Instagram"
"FirstYear","F",68,124,"right",30,NA,5,"No",5,"Academy",100,"Mac","Instagram"
"Sophomore","F",63,145,"right",0,3.01,3,"No",0,"Nobel",57,NA,"Snapchat"
"FirstYear","F",68,150,"right",NA,NA,10,"Yes",7,"Olympic",130,"Mac","Snapchat"
"Sophomore","M",71,240,"left",0,3,10,"Yes",50,"Nobel",90,"PC","Twitter"
"FirstYear","M",70,165,"right",25,NA,15,"Yes",5,"Olympic",66,"Mac","Snapchat"
"Sophomore","F",66,155,"right",0,3.4,8,"Yes",2,"Nobel",53,"Mac","Twitter"
"FirstYear","F",66,140,"right",35,NA,15,"Yes",3,"Nobel",60,"Mac","Instagram"
"Sophomore","M",74,156,"right",12,3.23,14,"Yes",7,"Olympic",50,"Mac","Snapchat"
"FirstYear","M",70,160,"right",0,NA,14,"No",10,"Olympic",84,"PC","Twitter"
"FirstYear","M",72,160,"right",30,NA,9,"No",5,"Nobel",78,"Mac","Instagram"
"FirstYear","M",67,125,"right",14,NA,7,"No",15,"Nobel",NA,"PC","Facebook"
"Sophomore","M",73,155,"right",19,NA,8,"No",4,"Nobel",NA,"Mac","Snapchat"
